PC1,PC2,Class
-2.753576584324569,1.8520002693741693,B
-1.150830752710169,-2.0948691079848825,C
-0.3253632121303379,1.7115424445136738,B
6.0428637739511,0.7692327296081782,A
-2.469576929139611,-0.3361678690498359,C
-3.3558714992309224,0.7486771797088277,B
-2.893985545741375,1.587759776693955,B
-1.3679614193787766,1.4791313311132217,B
-2.950699394346385,-0.6115208234613045,B
-1.2310107529444234,0.2642894459706942,C
-2.5745121385344234,1.4101657697548586,B
-3.0632375368657905,0.8106389801219855,B
-2.4324756112966797,-1.315788798237607,C
-0.46288747870532476,-1.1782371231597584,C
-1.4678869978228155,0.055998105998742345,B
6.333307994193242,0.3996675093291621,A
5.8219336112084115,1.5201322601049356,A
2.9145222144508254,-0.5362994188131345,A
6.786806846416534,1.0902780048852134,A
-1.134197956833518,-2.7926642223912026,C
-2.1596622801231136,1.3676510409422884,B
-3.0567641024307255,0.8123312329503742,B
6.928343099863014,0.3525376532347837,A
-3.181149306600854,0.6431506098817091,B
-3.2177905853359827,-1.9901991268942807,C
-2.4043737459380865,2.1846165638741573,B
-2.6066507941382038,1.3597725530222933,B
-1.1302725588064786,1.4044585245346748,B
-2.8240262639513287,0.6094647712153001,B
5.444023437191924,1.400619138759271,A
-2.763539837327321,0.30410586035462456,B
4.743399391724609,-0.7214172785972177,A
-3.2973151480020837,2.085425242159371,B
-0.16488379760995778,2.947130032969132,B
3.1805210373802324,-0.19013349070387112,A
-1.953492428090288,-2.431017459119843,C
-1.6368769553928688,-0.3524584533581812,B
5.497579466105299,-0.04971953924458895,A
-1.997808186894157,2.283034152505057,B
-2.2158792686361672,-1.2899759594666396,B
-3.5627206346477918,-1.1496211846354596,B
-3.5132681339547833,1.8152947058506481,B
-2.2116503102906067,-1.7194464360520896,B
5.687781018629455,0.49598948471865556,A
-1.5856321044854067,0.06085021306038352,C
-1.8085572867677577,1.7469222822195807,B
-1.8002791372410083,-0.07687566888904368,B
5.1138627980331846,-0.3875204845211686,A
-2.6342822566455273,-2.0872918711799544,C
6.26375603614813,1.187787787820477,A
3.034291584580855,-2.54081505943337,A
-2.3432844221490456,-3.4995998428721697,C
5.366127687172233,-0.13781261782252557,A
-0.9456279328937023,-2.987399233897117,C
-2.4454131365088347,2.610956023877231,B
-1.9766573418799886,0.9059486581612607,B
7.452605445163926,0.5122097482824721,A
6.563227099673783,0.21301818064395955,A
-1.1266164320405372,-1.0574841624651026,C
-2.0669438828094724,-3.038344136883111,C
-2.583308499720067,1.7674727180077354,B
4.453694643932069,-0.05884615167305218,A
0.3747939621663023,-0.25092909651258843,C
-1.9952210504503176,-2.7933982308517216,C
6.17109726684251,0.5581023735840216,A
0.28897239563041854,-2.2233112487846918,C
-2.846362816615611,-2.3242288329592107,C
7.070131817547219,0.5676676946547882,A
-2.407617747033899,1.9998979680486115,B
-1.3310685883649866,-1.8454033422427303,C
-1.9481698359876576,-3.6228033001437887,C
-0.15922317279679224,-2.575263510354059,C
5.804915194463693,0.473497450532482,A
-0.7783226194035827,-0.30700148973037594,B
-2.629796494866502,1.073566768880331,B
-2.107061060108623,0.7782837267056483,B
0.6093244332668798,-1.1016430205188183,C
-3.1602481837760914,1.618215502298031,B
-3.145903310667776,-2.4832254074427604,C
6.09575444998603,0.22926006983156036,A
-2.7447511896501946,0.590472636509069,B
-2.2286037913100185,1.3153912658578375,B
-0.2602938273766972,-3.524381440427617,C
6.405376381456248,1.1532850347114785,A
-1.8246708101074485,-1.3399223629999888,C
4.3623453458348616,-1.2900443596892601,A
-1.4263572415791952,-0.06228873000077852,C
-2.8625687691891946,-1.6828322529567796,C
-2.173920998797296,-0.9610847889871436,C
-2.509668372156658,-1.4272968571238358,B
-2.0932279171531563,2.685567664557343,B
-2.1455008251286154,1.6207154068982244,B
-1.7489836933218825,-2.2625913946054395,C
-2.4259249181578304,1.3981067665463625,C
-3.9500880691330207,1.444063038337314,B
-3.172109092670638,1.4436815363039088,B
-0.4837125944219985,-0.2221776765636082,C
3.7169328035744744,-1.649962767465484,A
3.7914795170771276,0.515361550642877,A
-0.9989857782387562,1.9593311551484869,B
5.965345833709375,0.14871607470757478,A
-1.7765838368223088,2.380528532868765,B
3.8157443699872515,-0.13902855210039605,A
-3.7161727179303674,-0.888686778200619,B
6.471207388926399,0.49581650526445276,A
-1.9674636562963608,0.751752934338283,B
4.492952971734755,-0.4399323153828935,A
-1.2487862533676097,1.0347097971855614,B
-2.0328492055331755,-0.43640356820804016,B
-1.3772957419423102,-1.8247998448063807,C
-2.7444408036499546,-0.7470119799180134,B
-2.859640139031242,1.4844951672423534,B
-1.959279592527861,0.21841231127200883,B
-2.3246606791712976,3.1889421879275717,B
-3.1166639452205573,0.4586159008947762,B
-2.7709168915572118,0.15363284857932238,B
-2.549675688771224,1.1014542875465738,B
7.228537313808542,0.9934893834566445,A
0.31565569505532953,-1.3661155756939305,C
-1.4954643856899184,0.42944519148671717,C
-1.7453252959372367,1.8808959331313,B
-3.046638313295498,1.0393622471814614,B
-0.7497022270363081,-2.50077326339723,C
5.37368523472792,-0.019319443825032232,A
6.384506555147519,-0.22662347842566413,A
-2.8990722796032613,1.977255585500262,B
-2.7851566423270686,-0.15033302928134895,B
5.366127687172233,-0.13781261782252557,A
-1.7784806630220251,-2.8742758010936766,C
-2.6190001084830463,0.12389063498262107,C
-1.226121881698299,-2.405611830229087,C
4.114791512220735,0.5450320523050354,A
-0.7570513338206918,1.1897887500874693,B
-0.660633405292497,-0.43600553263733977,C
6.856358804461653,0.30215772639389527,A
-2.18865328229804,2.6073984276859368,B
0.29367600990468945,-1.2211632633526048,C
4.833480787003048,-0.5730088640743201,A
-2.3475798293549923,-0.45152297074173275,C
-2.8990722796032613,1.977255585500262,B
-2.2062018635943748,2.409781814970543,B
-0.194840783616404,-1.9821030062066314,C
-0.11340697023978924,-2.764947872142497,C
-2.149378745624111,1.6245975704006115,B
-3.720113550467558,0.005883411413722839,B
-2.0547884501740197,1.3166332528405533,B
-0.7154208726238354,-4.380141239340301,C
-0.4009866977277927,-1.4217808543789123,C
3.4498875209476614,0.12712104165377186,A
-2.442963306524348,2.4478068348915065,B
6.572685359138218,0.6571190646105829,A
-2.397124197630522,-2.474279346576938,C
-3.2158066487677024,-1.0050916161402883,C
-1.6312639027259501,-2.7181712096893405,C
-2.990469946691323,-0.5480279273385724,B
4.438627733319772,-1.8947732947336395,A
-2.9257932500497024,1.6436349949778748,B
-1.3981241371750794,2.044625148543194,B
-0.4590145318339671,0.9362259574441021,B
-2.334049751249182,1.4356758561640763,B
-2.6579458806052334,0.04999859140197145,B
4.1439461994802365,-0.3923843539569785,A
-2.872128597565508,0.25439084446321586,B
-1.1449310384563316,-0.9895174630658363,C
-1.359923225285574,1.7441403104620439,B
-1.7206119731285368,0.3231667155089116,B
-2.20619445956262,2.190733509302265,B
6.396083215314079,0.11932711325303794,A
5.841712509909398,0.7837491857739263,A
